Country/area,Type,Age Category,Capacity (MW),Capacity %
Armenia,Nuclear,40-49 years,0.448,100.0
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,100.0
Aruba,Oil and gas,10-19 years,0.0,0.0
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0074,100.0
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,100.0
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,5.877413937867338
Australia,Coal,20-29 years,4.133,18.264174289628354
Australia,Coal,30-39 years,6.178,27.30125060762738
Australia,Coal,40-49 years,10.268,45.375403243625435
Australia,Coal,50+ years,0.72,3.1817579212514913
Australia,Oil and gas,0-9 years,1.2262,7.5047891840944
Australia,Oil and gas,10-19 years,8.960600000000001,54.84212523486893
Australia,Oil and gas,20-29 years,4.0511,24.794202792109626
Australia,Oil and gas,30-39 years,0.195,1.1934707966876594
Australia,Oil and gas,40-49 years,1.75,10.710635354889252
Australia,Oil and gas,50+ years,0.156,0.9547766373501276
Australia,Utility-scale solar,0-9 years,10.598019,99.38007126507941
Australia,Utility-scale solar,10-19 years,0.06611,0.6199287349205922
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.051200000000001,70.7626671172408
Australia,Wind,10-19 years,3.654,25.724966734956805
Australia,Wind,20-29 years,0.49889999999999995,3.512366147802395
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,1.7616710708443437
Australia,Hydropower,20-29 years,0.0,0.0
Australia,Hydropower,30-39 years,0.481,6.0525984648294955
Australia,Hydropower,40-49 years,1.583,19.91946646533283
Australia,Hydropower,50+ years,5.743,72.26626399899332
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,68.75
Australia,Bioenergy,20-29 years,0.08,31.25
Australia,Bioenergy,30-39 years,0.0,0.0
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,5.20524756665256
Austria,Oil and gas,10-19 years,2.597,54.9513330512061
Austria,Oil and gas,20-29 years,1.379,29.179009733389762
Austria,Oil and gas,30-39 years,0.194,4.104951333051206
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,6.559458315700381
Austria,Utility-scale solar,0-9 years,0.06612399999999999,100.0
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.078,35.76642335766424
Austria,Wind,10-19 years,1.438,47.71068347710683
Austria,Wind,20-29 years,0.498,16.522893165228933
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,0.899,7.803819444444445
Austria,Hydropower,10-19 years,1.145,9.93923611111111
Austria,Hydropower,20-29 years,0.172,1.4930555555555556
Austria,Hydropower,30-39 years,0.703,6.102430555555555
Austria,Hydropower,40-49 years,3.266,28.350694444444446
Austria,Hydropower,50+ years,5.335,46.31076388888889
Austria,Bioenergy,0-9 years,0.0,0.0
Austria,Bioenergy,10-19 years,0.0,0.0
Austria,Bioenergy,20-29 years,0.07,100.0
Austria,Bioenergy,30-39 years,0.0,0.0
Austria,Bioenergy,40-49 years,0.0,0.0
Austria,Bioenergy,50+ years,0.0,0.0
Azerbaijan,Oil and gas,0-9 years,0.7843,13.381903803170161
Azerbaijan,Oil and gas,10-19 years,2.1696,37.018205395075846
Azerbaijan,Oil and gas,20-29 years,0.507,8.650548550563906
Azerbaijan,Oil and gas,30-39 years,2.4,40.94934225119009
Azerbaijan,Oil and gas,40-49 years,0.0,0.0
Azerbaijan,Oil and gas,50+ years,0.0,0.0
Azerbaijan,Utility-scale solar,0-9 years,0.2675,93.89259389259391
Azerbaijan,Utility-scale solar,10-19 years,0.0174,6.107406107406107
Azerbaijan,Utility-scale solar,20-29 years,0.0,0.0
Azerbaijan,Utility-scale solar,30-39 years,0.0,0.0
Azerbaijan,Utility-scale solar,40-49 years,0.0,0.0
Azerbaijan,Utility-scale solar,50+ years,0.0,0.0
Azerbaijan,Wind,0-9 years,0.05,100.0
Azerbaijan,Wind,10-19 years,0.0,0.0
Azerbaijan,Wind,20-29 years,0.0,0.0
Azerbaijan,Wind,30-39 years,0.0,0.0
Azerbaijan,Wind,40-49 years,0.0,0.0
Azerbaijan,Wind,50+ years,0.0,0.0
Azerbaijan,Hydropower,0-9 years,0.182,15.345699831365936
Azerbaijan,Hydropower,10-19 years,0.0,0.0
Azerbaijan,Hydropower,20-29 years,0.15,12.647554806070826
Azerbaijan,Hydropower,30-39 years,0.0,0.0
Azerbaijan,Hydropower,40-49 years,0.43,36.25632377740304
Azerbaijan,Hydropower,50+ years,0.424,35.750421585160204
Azerbaijan,Bioenergy,0-9 years,0.0,0.0
Azerbaijan,Bioenergy,10-19 years,0.037,100.0
Azerbaijan,Bioenergy,20-29 years,0.0,0.0
Azerbaijan,Bioenergy,30-39 years,0.0,0.0
Azerbaijan,Bioenergy,40-49 years,0.0,0.0
Azerbaijan,Bioenergy,50+ years,0.0,0.0
Bahamas,Oil and gas,0-9 years,0.1943,78.88753552578157
Bahamas,Oil and gas,10-19 years,0.052,21.11246447421843
Bahamas,Oil and gas,20-29 years,0.0,0.0
Bahamas,Oil and gas,30-39 years,0.0,0.0
Bahamas,Oil and gas,40-49 years,0.0,0.0
Bahamas,Oil and gas,50+ years,0.0,0.0
Bahrain,Oil and gas,0-9 years,3.9728999999999997,42.802658938363905
Bahrain,Oil and gas,10-19 years,2.168,23.35728676240856
Bahrain,Oil and gas,20-29 years,1.647,17.744211853176616
Bahrain,Oil and gas,30-39 years,0.794,8.554283067044462
Bahrain,Oil and gas,40-49 years,0.7,7.541559379006453
Bahrain,Oil and gas,50+ years,0.0,0.0
Bahrain,Utility-scale solar,0-9 years,0.0,0.0
Bahrain,Utility-scale solar,10-19 years,0.0040999999999999995,100.0
Bahrain,Utility-scale solar,20-29 years,0.0,0.0
Bahrain,Utility-scale solar,30-39 years,0.0,0.0
Bahrain,Utility-scale solar,40-49 years,0.0,0.0
Bahrain,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Coal,0-9 years,5.125,97.61904761904762
Bangladesh,Coal,10-19 years,0.125,2.380952380952381
Bangladesh,Coal,20-29 years,0.0,0.0
Bangladesh,Coal,30-39 years,0.0,0.0
Bangladesh,Coal,40-49 years,0.0,0.0
Bangladesh,Coal,50+ years,0.0,0.0
Bangladesh,Oil and gas,0-9 years,12.7479,63.022617723396365
Bangladesh,Oil and gas,10-19 years,5.3186,26.293906810035843
Bangladesh,Oil and gas,20-29 years,1.554,7.682610307749351
Bangladesh,Oil and gas,30-39 years,0.607,3.0008651588184403
Bangladesh,Oil and gas,40-49 years,0.0,0.0
Bangladesh,Oil and gas,50+ years,0.0,0.0
Bangladesh,Utility-scale solar,0-9 years,0.888492,100.0
Bangladesh,Utility-scale solar,10-19 years,0.0,0.0
Bangladesh,Utility-scale solar,20-29 years,0.0,0.0
Bangladesh,Utility-scale solar,30-39 years,0.0,0.0
Bangladesh,Utility-scale solar,40-49 years,0.0,0.0
Bangladesh,Utility-scale solar,50+ years,0.0,0.0
Bangladesh,Wind,0-9 years,0.06,100.0
Bangladesh,Wind,10-19 years,0.0,0.0
Bangladesh,Wind,20-29 years,0.0,0.0
Bangladesh,Wind,30-39 years,0.0,0.0
Bangladesh,Wind,40-49 years,0.0,0.0
Bangladesh,Wind,50+ years,0.0,0.0
Bangladesh,Hydropower,0-9 years,0.0,0.0
Bangladesh,Hydropower,10-19 years,0.0,0.0
Bangladesh,Hydropower,20-29 years,0.0,0.0
Bangladesh,Hydropower,30-39 years,0.0,0.0
Bangladesh,Hydropower,40-49 years,0.0,0.0
Bangladesh,Hydropower,50+ years,0.23,100.0
Bangladesh,Bioenergy,0-9 years,0.042,100.0
Bangladesh,Bioenergy,10-19 years,0.0,0.0
Bangladesh,Bioenergy,20-29 years,0.0,0.0
Bangladesh,Bioenergy,30-39 years,0.0,0.0
Bangladesh,Bioenergy,40-49 years,0.0,0.0
Bangladesh,Bioenergy,50+ years,0.0,0.0
Barbados,Oil and gas,0-9 years,0.0,0.0
Barbados,Oil and gas,10-19 years,0.0,0.0
Barbados,Oil and gas,20-29 years,0.06,54.54545454545454
Barbados,Oil and gas,30-39 years,0.0,0.0
Barbados,Oil and gas,40-49 years,0.05,45.45454545454545
Barbados,Oil and gas,50+ years,0.0,0.0
Barbados,Utility-scale solar,0-9 years,0.021111,100.0
Barbados,Utility-scale solar,10-19 years,0.0,0.0
Barbados,Utility-scale solar,20-29 years,0.0,0.0
Barbados,Utility-scale solar,30-39 years,0.0,0.0
Barbados,Utility-scale solar,40-49 years,0.0,0.0
Barbados,Utility-scale solar,50+ years,0.0,0.0
Barbados,Wind,0-9 years,0.001,100.0
Barbados,Wind,10-19 years,0.0,0.0
Barbados,Wind,20-29 years,0.0,0.0
Barbados,Wind,30-39 years,0.0,0.0
Barbados,Wind,40-49 years,0.0,0.0
Barbados,Wind,50+ years,0.0,0.0
Belarus,Oil and gas,0-9 years,1.1812,12.89069320761306
Belarus,Oil and gas,10-19 years,2.036,22.21931203073162
Belarus,Oil and gas,20-29 years,2.072,22.61218788196263
Belarus,Oil and gas,30-39 years,0.664,7.246376811594201
Belarus,Oil and gas,40-49 years,1.3,14.187183516675397
Belarus,Oil and gas,50+ years,1.91,20.844246551423083
Belarus,Utility-scale solar,0-9 years,0.25514414375,97.97724568802262
Belarus,Utility-scale solar,10-19 years,0.005267487499999999,2.0227543119773763
Belarus,Utility-scale solar,20-29 years,0.0,0.0
Belarus,Utility-scale solar,30-39 years,0.0,0.0
Belarus,Utility-scale solar,40-49 years,0.0,0.0
Belarus,Utility-scale solar,50+ years,0.0,0.0
Belarus,Nuclear,0-9 years,2.388,100.0
Belarus,Nuclear,10-19 years,0.0,0.0
Belarus,Nuclear,20-29 years,0.0,0.0
Belarus,Nuclear,30-39 years,0.0,0.0
Belarus,Nuclear,40-49 years,0.0,0.0
Belarus,Nuclear,50+ years,0.0,0.0
Belgium,Oil and gas,0-9 years,0.0238,0.46915040410013803
Belgium,Oil and gas,10-19 years,2.224,43.839936920954074
Belgium,Oil and gas,20-29 years,1.7822,35.1310861423221
Belgium,Oil and gas,30-39 years,0.993,19.574216439976343
Belgium,Oil and gas,40-49 years,0.05,0.9856100926473488
Belgium,Oil and gas,50+ years,0.0,0.0
Belgium,Utility-scale solar,0-9 years,0.141723,72.84095289491943
Belgium,Utility-scale solar,10-19 years,0.052842,27.159047105080564
Belgium,Utility-scale solar,20-29 years,0.0,0.0
Belgium,Utility-scale solar,30-39 years,0.0,0.0
Belgium,Utility-scale solar,40-49 years,0.0,0.0
Belgium,Utility-scale solar,50+ years,0.0,0.0
Belgium,Wind,0-9 years,2.268,63.70786516853932
Belgium,Wind,10-19 years,1.267,35.58988764044943
Belgium,Wind,20-29 years,0.025,0.7022471910112359
Belgium,Wind,30-39 years,0.0,0.0
Belgium,Wind,40-49 years,0.0,0.0
Belgium,Wind,50+ years,0.0,0.0
Belgium,Hydropower,0-9 years,0.0,0.0
Belgium,Hydropower,10-19 years,0.0,0.0
Belgium,Hydropower,20-29 years,0.0,0.0
Belgium,Hydropower,30-39 years,0.0,0.0
Belgium,Hydropower,40-49 years,0.144,11.009174311926607
Belgium,Hydropower,50+ years,1.164,88.9908256880734
Belgium,Nuclear,0-9 years,0.0,0.0
Belgium,Nuclear,10-19 years,0.0,0.0
Belgium,Nuclear,20-29 years,0.0,0.0
Belgium,Nuclear,30-39 years,0.0,0.0
Belgium,Nuclear,40-49 years,2.179,53.1982421875
Belgium,Nuclear,50+ years,1.917,46.8017578125
Belgium,Bioenergy,0-9 years,0.0,0.0
Belgium,Bioenergy,10-19 years,0.075,65.21739130434783
Belgium,Bioenergy,20-29 years,0.04,34.78260869565217
Belgium,Bioenergy,30-39 years,0.0,0.0
Belgium,Bioenergy,40-49 years,0.0,0.0
Belgium,Bioenergy,50+ years,0.0,0.0
Belize,Utility-scale solar,0-9 years,0.008199999999999999,100.0
Belize,Utility-scale solar,10-19 years,0.0,0.0
Belize,Utility-scale solar,20-29 years,0.0,0.0
Belize,Utility-scale solar,30-39 years,0.0,0.0
Belize,Utility-scale solar,40-49 years,0.0,0.0
Belize,Utility-scale solar,50+ years,0.0,0.0
Benin,Oil and gas,0-9 years,0.1274,100.0
Benin,Oil and gas,10-19 years,0.0,0.0
Benin,Oil and gas,20-29 years,0.0,0.0
Benin,Oil and gas,30-39 years,0.0,0.0
Benin,Oil and gas,40-49 years,0.0,0.0
Benin,Oil and gas,50+ years,0.0,0.0
Benin,Utility-scale solar,0-9 years,0.02175,100.0
Benin,Utility-scale solar,10-19 years,0.0,0.0
Benin,Utility-scale solar,20-29 years,0.0,0.0
Benin,Utility-scale solar,30-39 years,0.0,0.0
Benin,Utility-scale solar,40-49 years,0.0,0.0
Benin,Utility-scale solar,50+ years,0.0,0.0
Bermuda,Oil and gas,0-9 years,0.056,49.122807017543856
Bermuda,Oil and gas,10-19 years,0.0,0.0
Bermuda,Oil and gas,20-29 years,0.058,50.877192982456144
Bermuda,Oil and gas,30-39 years,0.0,0.0
Bermuda,Oil and gas,40-49 years,0.0,0.0
Bermuda,Oil and gas,50+ years,0.0,0.0
Bermuda,Utility-scale solar,0-9 years,0.006,100.0
Bermuda,Utility-scale solar,10-19 years,0.0,0.0
Bermuda,Utility-scale solar,20-29 years,0.0,0.0
Bermuda,Utility-scale solar,30-39 years,0.0,0.0
Bermuda,Utility-scale solar,40-49 years,0.0,0.0
Bermuda,Utility-scale solar,50+ years,0.0,0.0
Bhutan,Hydropower,0-9 years,0.72,30.954428202923474
Bhutan,Hydropower,10-19 years,1.146,49.26913155631986
Bhutan,Hydropower,20-29 years,0.124,5.331040412725709
Bhutan,Hydropower,30-39 years,0.336,14.445399828030956
Bhutan,Hydropower,40-49 years,0.0,0.0
Bhutan,Hydropower,50+ years,0.0,0.0
Bolivia,Oil and gas,0-9 years,1.5564,75.80362361192286
Bolivia,Oil and gas,10-19 years,0.3098,15.088642119618159
Bolivia,Oil and gas,20-29 years,0.187,9.107734268458993
Bolivia,Oil and gas,30-39 years,0.0,0.0
Bolivia,Oil and gas,40-49 years,0.0,0.0
Bolivia,Oil and gas,50+ years,0.0,0.0
Bolivia,Utility-scale solar,0-9 years,0.16405525,97.41694513680542
Bolivia,Utility-scale solar,10-19 years,0.00435,2.5830548631945853
Bolivia,Utility-scale solar,20-29 years,0.0,0.0
Bolivia,Utility-scale solar,30-39 years,0.0,0.0
Bolivia,Utility-scale solar,40-49 years,0.0,0.0
Bolivia,Utility-scale solar,50+ years,0.0,0.0
Bolivia,Wind,0-9 years,0.132,97.77777777777777
Bolivia,Wind,10-19 years,0.003,2.2222222222222223
Bolivia,Wind,20-29 years,0.0,0.0
Bolivia,Wind,30-39 years,0.0,0.0
Bolivia,Wind,40-49 years,0.0,0.0
Bolivia,Wind,50+ years,0.0,0.0
Bolivia,Hydropower,0-9 years,0.447,67.83004552352048
Bolivia,Hydropower,10-19 years,0.0,0.0
Bolivia,Hydropower,20-29 years,0.051,7.7389984825493165
Bolivia,Hydropower,30-39 years,0.0,0.0
Bolivia,Hydropower,40-49 years,0.0,0.0
Bolivia,Hydropower,50+ years,0.161,24.430955993930198
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,0-9 years,0.0040999999999999995,100.0
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,10-19 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,20-29 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,30-39 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,40-49 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Utility-scale solar,50+ years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Wind,0-9 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Wind,10-19 years,0.011,100.0
"Bonaire, Sint Eustatius, and Saba",Wind,20-29 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Wind,30-39 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Wind,40-49 years,0.0,0.0
"Bonaire, Sint Eustatius, and Saba",Wind,50+ years,0.0,0.0
Bosnia and Herzegovina,Coal,0-9 years,0.3,15.07537688442211
Bosnia and Herzegovina,Coal,10-19 years,0.0,0.0
Bosnia and Herzegovina,Coal,20-29 years,0.0,0.0
Bosnia and Herzegovina,Coal,30-39 years,0.23,11.557788944723619
Bosnia and Herzegovina,Coal,40-49 years,0.94,47.23618090452261
Bosnia and Herzegovina,Coal,50+ years,0.52,26.13065326633166
Bosnia and Herzegovina,Utility-scale solar,0-9 years,0.09135,100.0
Bosnia and Herzegovina,Utility-scale solar,10-19 years,0.0,0.0
Bosnia and Herzegovina,Utility-scale solar,20-29 years,0.0,0.0
Bosnia and Herzegovina,Utility-scale solar,30-39 years,0.0,0.0
Bosnia and Herzegovina,Utility-scale solar,40-49 years,0.0,0.0
Bosnia and Herzegovina,Utility-scale solar,50+ years,0.0,0.0
Bosnia and Herzegovina,Wind,0-9 years,0.219,100.0
Bosnia and Herzegovina,Wind,10-19 years,0.0,0.0
Bosnia and Herzegovina,Wind,20-29 years,0.0,0.0
Bosnia and Herzegovina,Wind,30-39 years,0.0,0.0
